"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source","Date (YMD)"
"Australian Dollar","AUD","56.60","58.20","57.38","57.77","RMA","20250904"
"Canadian Dollar","CAD","62.80","64.60","63.67","64.12","RMA","20250904"
"Danish Kroner","DKK","-","-","13.72","13.82","RMA","20250904"
"OEuro","EUR","101.05","103.85","102.41","103.1","RMA","20250904"
"Hongkong Dollar","HKD","11.10","11.40","11.26","11.34","RMA","20250904"
"Japanese Yen 100","JPY","58.35","60.00","59.14","59.55","RMA","20250904"
"Norwegian Kroner","NOK","-","-","8.76","8.83","RMA","20250904"
"Pound Sterling","GBP","116.20","119.45","117.79","118.59","RMA","20250904"
"Singapore Dollar","SGD","67.30","69.15","68.19","68.67","RMA","20250904"
"Swedish Kroner","SEK","-","-","9.31","9.37","RMA","20250904"
"Swiss Franc","CHF","107.85","110.90","109.31","110.08","RMA","20250904"
"US Dollar","USD","86.75","89.45","87.85","88.46","RMA","20250904"
