"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.65","67.50","66.55","67.0","RMA"
"Canadian Dollar (CAD)","CAD","66.70","68.60","67.63","68.11","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.69","14.79","RMA"
"OEuro (EURO)","EUR","108.30","111.30","109.77","110.52","RMA"
"Hongkong Dollar (HKD)","HKD","11.75","12.05","11.89","11.97","RMA"
"Japanese Yen 100 (JPY)","JPY","57.85","59.45","58.62","59.04","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.87","9.94","RMA"
"Pound Sterling (GBP)","GBP","124.60","128.05","126.3","127.15","RMA"
"Singapore Dollar (SGD)","SGD","72.25","74.30","73.23","73.78","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.12","10.19","RMA"
"Swiss Franc (CHF)","CHF","117.55","120.90","119.16","120.04","RMA"
"US Dollar (USD)","USD","92.00","94.85","93.16","93.81","RMA"
