"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","65.70","67.55","66.61","67.06","RMA"
"Canadian Dollar (CAD)","CAD","66.80","68.70","67.72","68.21","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.66","14.76","RMA"
"OEuro (EURO)","EUR","108.15","111.15","109.59","110.33","RMA"
"Hongkong Dollar (HKD)","HKD","11.95","12.30","12.13","12.21","RMA"
"Japanese Yen 100 (JPY)","JPY","59.75","61.40","60.54","60.97","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","9.97","10.04","RMA"
"Pound Sterling (GBP)","GBP","126.20","129.70","127.92","128.78","RMA"
"Singapore Dollar (SGD)","SGD","73.15","75.20","74.12","74.68","RMA"
"Swedish Kroner (SEK)","SEK","-","-","9.97","10.04","RMA"
"Swiss Franc (CHF)","CHF","116.00","119.25","117.58","118.42","RMA"
"US Dollar (USD)","USD","93.95","96.85","95.11","95.77","RMA"
