"Currency","CUR","Notes.Buy","Notes.Sell","TT.Buy","TT.Sell","Source"
"Australian Dollar (AUD)","AUD","67.50","69.35","68.4","68.87","RMA"
"Canadian Dollar (CAD)","CAD","67.70","69.65","68.64","69.13","RMA"
"Danish Kroner (DKK)","DKK","-","-","14.84","14.95","RMA"
"OEuro (EURO)","EUR","109.50","112.50","110.96","111.72","RMA"
"Hongkong Dollar (HKD)","HKD","12.00","12.35","12.16","12.24","RMA"
"Japanese Yen 100 (JPY)","JPY","58.95","60.60","59.77","60.18","RMA"
"Norwegian Kroner (NOK)","NOK","-","-","10.18","10.26","RMA"
"Pound Sterling (GBP)","GBP","127.65","131.20","129.39","130.28","RMA"
"Singapore Dollar (SGD)","SGD","73.90","76.00","74.92","75.45","RMA"
"Swedish Kroner (SEK)","SEK","-","-","10.0","10.07","RMA"
"Swiss Franc (CHF)","CHF","116.65","119.95","118.25","119.1","RMA"
"US Dollar (USD)","USD","94.15","97.05","95.31","95.97","RMA"
